2026-07-21 20:06:18  INFO     === reconstruct_walls started ===
2026-07-21 20:06:18  INFO     input:  data\parsed.json
2026-07-21 20:06:18  INFO     output: data\output.json
2026-07-21 20:06:18  INFO     tolerance: 10.00 mm
2026-07-21 20:06:18  INFO     Loaded 759 walls, 16 doors, 0 windows
2026-07-21 20:06:50  DEBUG      snap wall 26A endpoint (122717.350,-246913.260) -> (122717.350,-246912.613)  dist=0.647 mm
2026-07-21 20:06:50  DEBUG      snap wall 26A endpoint (122717.282,-246613.260) -> (122717.315,-246641.667)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 26B endpoint (122717.282,-246613.260) -> (122717.315,-246641.667)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 26D endpoint (125417.349,-246912.643) -> (125417.349,-246912.002)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 26E endpoint (125417.349,-246912.643) -> (125417.349,-246912.002)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 26E endpoint (125417.280,-246612.643) -> (125417.314,-246641.048)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 26F endpoint (125417.280,-246612.643) -> (125417.314,-246641.048)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 271 endpoint (128217.350,-246912.003) -> (128217.350,-246911.362)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 272 endpoint (128217.350,-246912.003) -> (128217.350,-246911.362)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 272 endpoint (128217.282,-246612.003) -> (128217.315,-246640.409)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 273 endpoint (128217.282,-246612.003) -> (128217.315,-246640.409)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 275 endpoint (131017.350,-246911.364) -> (131017.350,-246910.722)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 276 endpoint (131017.350,-246911.364) -> (131017.350,-246910.722)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 276 endpoint (131017.282,-246611.364) -> (131017.315,-246639.767)  dist=28.404 mm
2026-07-21 20:06:50  DEBUG      snap wall 277 endpoint (131017.282,-246611.364) -> (131017.315,-246639.767)  dist=28.404 mm
2026-07-21 20:06:50  DEBUG      snap wall 27D endpoint (131017.350,-246911.364) -> (131017.350,-246910.722)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 27E endpoint (128217.350,-246912.003) -> (128217.350,-246911.362)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 27F endpoint (125417.349,-246912.643) -> (125417.349,-246912.002)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 280 endpoint (122717.350,-246913.260) -> (122717.350,-246912.613)  dist=0.647 mm
2026-07-21 20:06:50  DEBUG      snap wall 281 endpoint (119817.351,-246913.923) -> (119817.350,-246913.281)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 282 endpoint (117017.351,-246914.562) -> (117017.350,-246913.921)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 283 endpoint (111417.351,-246915.842) -> (111417.351,-246915.201)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 284 endpoint (108617.351,-246916.482) -> (108617.351,-246915.840)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 285 endpoint (103017.351,-246917.761) -> (103017.351,-246917.120)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 286 endpoint (95702.346,-246919.433) -> (95702.345,-246918.795)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 286 endpoint (93772.346,-246919.874) -> (93772.345,-246919.236)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 287 endpoint (87017.337,-246921.417) -> (87017.337,-246920.775)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 288 endpoint (84217.337,-246922.057) -> (84217.337,-246921.415)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 289 endpoint (81417.337,-246922.696) -> (81417.337,-246922.055)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 28A endpoint (75817.338,-246923.976) -> (75817.337,-246923.334)  dist=0.642 mm
